Code,Description,Category,Active,Unit,Default Price List - Exclusive,Default Price List - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
SCS1200,4 TIER CHROME SHELVING UNIT - 1200 X 450 X 1800MM HIGH,CaterMarket,True,EACH,2953.125,3042.9,True,,,,,,,,,,,,,Standard Rate,Standard Rate,2250.0,-3,Sales,Purchases
SCS1201,ADDITIONAL SHELF FOR 1200 SHELVING UNIT,CaterMarket,True,EACH,551.25,568.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,420.0,0,Sales,Purchases
SCS1500,4 TIER CHROME SHELVING UNIT - 1500 X 450 X 1800MM HIGH,CaterMarket,True,EACH,3543.75,3651.25,True,,,,,,,,,,,,,Standard Rate,Standard Rate,2700.0,0,Sales,Purchases
SCS1501,ADDITIONAL SHELF FOR 1500 SHELVING UNIT,CaterMarket,True,EACH,689.0625,709.55,True,,,,,,,,,,,,,Standard Rate,Standard Rate,525.0,0,Sales,Purchases
SCS1800,4 TIER CHROME SHELVING UNIT - 1800 X 450 X 1800MM HIGH,CaterMarket,True,EACH,4134.375,4259.6,True,,,,,,,,,,,,,Standard Rate,Standard Rate,3150.0,-4,Sales,Purchases
SCS1801,ADDITIONAL SHELF FOR 1800 SHELVING UNIT,CaterMarket,True,EACH,826.875,852.15,True,,,,,,,,,,,,,Standard Rate,Standard Rate,630.0,0,Sales,Purchases
SDO0050,STAND FOR DISHWASHER,CaterMarket,True,EACH,2362.5,2608.2,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1800.0,0,Sales,Purchases
SDP0044,STAND FOR DOUBLE DECK OVEN,CaterMarket,True,EACH,6693.75,6897.7,True,,,,,,,,,,,,,Standard Rate,Standard Rate,5100.0,0,Sales,Purchases
SDP0066,STAND FOR DOUBLE DECK OVEN,CaterMarket,True,EACH,8268.75,8520.35,True,,,,,,,,,,,,,Standard Rate,Standard Rate,6300.0,0,Sales,Purchases
SES0936,SALAMANDER ELECTRIC,CaterMarket,True,EACH,3740.625,3854.8,True,,,,,,,,,,,,,Standard Rate,Standard Rate,2850.0,0,Sales,Purchases
SKI0010,SOUP KETTLE - 10LT - BLACK,CaterMarket,True,EACH,1575.0,1622.65,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1200.0,0,Sales,Purchases
SKI1010,SOUP KETTLE - 10LT - STAINLESS STEEL,CaterMarket,True,EACH,1771.875,1826.2,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1350.0,0,Sales,Purchases
SMP0103,SLUSH MACHINE - 1 X 3LT,CaterMarket,True,EACH,11812.5,12171.6,True,,,,,,,,,,,,,Standard Rate,Standard Rate,9000.0,-1,Sales,Purchases
SMP0110,SLUSH MAHCINE - 1 X 10LT,CaterMarket,True,EACH,24412.5,25155.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,18600.0,0,Sales,Purchases
SMP0203,SLUSH MACHINE - 2 X 3LT,CaterMarket,True,EACH,17325.0,17851.45,True,,,,,,,,,,,,,Standard Rate,Standard Rate,13200.0,0,Sales,Purchases
SMP0210,SLUSH MACHINE - 2 X 10LT,CaterMarket,True,EACH,30515.625,31443.3,True,,,,,,,,,,,,,Standard Rate,Standard Rate,23250.0,-2,Sales,Purchases
SMP0310,SLUSH MAHCINE - 3 X 10LT,CaterMarket,True,EACH,38981.25,40166.05,True,,,,,,,,,,,,,Standard Rate,Standard Rate,29700.0,-3,Sales,Purchases
SMS0880,CONTINUOUS SEALING MACHINE,CaterMarket,True,EACH,6496.875,6694.15,True,,,,,,,,,,,,,Standard Rate,Standard Rate,4950.0,0,Sales,Purchases
SMS0880-LW,CONTINUOUS SEALING MACHINE - VERTICAL,CaterMarket,True,EACH,7481.25,7708.45,True,,,,,,,,,,,,,Standard Rate,Standard Rate,5700.0,0,Sales,Purchases
SOB0006,STAND FOR 6 PAN CONVECTION OVEN,CaterMarket,True,EACH,10158.75,11214.8,True,,,,,,,,,,,,,Standard Rate,Standard Rate,7740.0,0,Sales,Purchases
SOB0010,STAND FOR 10 PAN CONVECTION OVEN,CaterMarket,True,EACH,7560.0,8346.7,True,,,,,,,,,,,,,Standard Rate,Standard Rate,5760.0,0,Sales,Purchases
SOE0416,OVEN STAND - 4 PAN,CaterMarket,True,EACH,4961.25,5477.45,True,,,,,,,,,,,,,Standard Rate,Standard Rate,3780.0,0,Sales,Purchases
SOE0423,OVEN STAND,CaterMarket,True,EACH,4961.25,5477.45,True,,,,,,,,,,,,,Standard Rate,Standard Rate,3780.0,0,Sales,Purchases
SPC0001,SPIRAL POTATO CUTTER,CaterMarket,True,EACH,393.75,405.95,True,,,,,,,,,,,,,Standard Rate,Standard Rate,300.0,-4,Sales,Purchases
SSM/ST16E-P,SOFT SERVE MACHINE - TABLE MODEL - SINGLE BARREL,CaterMarket,True,EACH,29531.25,30429.0,True,,,,,,,,,,,,,Standard Rate,Standard Rate,22500.0,0,Sales,Purchases
SSM/ST16E-W,SOFT SERVE MACHINE - TABLE MODEL - SINGLE BARREL,CaterMarket,True,EACH,29531.25,30429.0,True,,,,,,,,,,,,,Standard Rate,Standard Rate,22500.0,0,Sales,Purchases
SSM/ST16E-Y,SOFT SERVE MACHINE - TABLE MODEL - SINGLE BARREL,CaterMarket,True,EACH,29531.25,30429.0,True,,,,,,,,,,,,,Standard Rate,Standard Rate,22500.0,0,Sales,Purchases
SSM/ST16E-Y,SOFT SERVE MACHINE - TABLE MODEL - SINGLE BARREL,CaterMarket,True,EACH,29531.25,31696.88,True,,,,,,,,,,,,,Standard Rate,Standard Rate,22500.0,0,Sales,Purchases
SSM/ST16RELW-W,SOFT SERVE MACHINE WITH REFR HOPPER - TABLE MODEL - SINGLE BARREL,CaterMarket,True,EACH,43312.5,44629.2,True,,,,,,,,,,,,,Standard Rate,Standard Rate,33000.0,0,Sales,Purchases
