Code,Description,Category,Active,Unit,Default Price List - Exclusive,Default Price List - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
26FBONE009,DISCONTINUED!!! --- FINE BONE CHINA SIDE PLATE 20 CM,DISCONTINUED,TRUE,EACH,0.00,0.00,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,115.39,0,Sales,Purchases
26FBONE101,DISCONTINUED!!! --- FINE BONE CHINA LGE DINNER PLATE 27CM,DISCONTINUED,TRUE,EACH,0.00,0.00,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,193.18,0,Sales,Purchases
26FBONE403,DISCONTINUED!!! --- FINE BONE CHINA DINER COUPE PLATE 27CM,DISCONTINUED,TRUE,EACH,0.00,0.00,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
26FBONE405,DISCONTINUED!!! --- FINE BONE CHINA SIDE COUPE PLATE 17CM,DISCONTINUED,TRUE,EACH,0.00,0.00,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
29CCFUS331,DISCONTINUED!!! --- FUSION SIDE COUPE PLATE 19CM,DISCONTINUED,TRUE,EACH,0.00,0.00,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
29CCFUS334,DISCONTINUED!!! --- FUSION DINNER/COUPE PLATE 27CM,DISCONTINUED,TRUE,EACH,0.00,0.00,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
2BBTFL,DISCONTINUED!!! --- 2 BURNER BOILING TABLE FOLDING LEGS,DISCONTINUED,TRUE,EACH,0.00,0.00,TRUE,,,,,,,,,,FALSE,FALSE,FALSE,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
2BBTMTT,2 BURNER BOILING TABLE MINI TABLE TOP,,TRUE,EACH,477.00,548.55,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,350.00,0,Sales,Purchases
2DBMTTG,2 DIVISION BAIN MARIE (TABLE TOP) GAS - 790 x700x300mm,CRIONI,TRUE,EACH,8064.40,9274.06,TRUE,,,,,,,,,,FALSE,FALSE,FALSE,Standard Rate,Standard Rate,5818.47,0,Sales,Purchases
2X2,DISCONTINUED!!! --- LPG MANIFOLD,DISCONTINUED,TRUE,EACH,0.00,0.00,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,-1,Sales,Purchases
3BBTFL,DISCONTINUED!!! --- 3 BURNER BOILING TABLE FOLDING LEGS,DISCONTINUED,TRUE,EACH,0.00,0.00,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
3DBMFMG,3 DIVISION BAIN MARIE (FLOOR MODEL)GAS - 1110x700x900mm,CRIONI,TRUE,EACH,11138.13,12808.85,TRUE,,,,,,,,,,FALSE,FALSE,FALSE,Standard Rate,Standard Rate,0.00,-1,Sales,Purchases
3DBMFMGSG,DISCONTINUED!!! --- 3 DIVISION BAIN MARIE (FLOOR MODEL/SNEEZE GUARD)GAS - 1110x700x900mm,DISCONTINUED,TRUE,EACH,0.00,0.00,TRUE,,,,,,,,,,FALSE,FALSE,FALSE,Standard Rate,Standard Rate,13402.06,0,Sales,Purchases
3DBMTTG,3 DIVISION BAIN MARIE TABLE TOP GAS,CRIONI,TRUE,EACH,9455.58,10873.92,TRUE,,,,,,,,,,FALSE,FALSE,FALSE,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
3PBTE,3 PLATE BOILING TABLE ELECTRIC,,TRUE,EACH,5999.00,6898.85,TRUE,,,,,,,,,,FALSE,FALSE,FALSE,Standard Rate,Standard Rate,4050.00,0,Sales,Purchases
3PSWEO,3 PLATE STOVE (FLATPLATE) & OVEN (ELECTRIC),COOKING,TRUE,EACH,39129.57,44999.00,TRUE,,,,,,,,,,FALSE,FALSE,FALSE,Standard Rate,Standard Rate,0.00,-1,Sales,Purchases
3STGRWO,Three Solid Top Gas Range without Oven 1000 x 850 910mm (H),,TRUE,EACH,0.00,0.00,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,35000.00,0,Sales,Purchases
44A0001,DOPPIO - ROCK - 28CL (6),BCE,TRUE,EACH,123.95,142.54,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,99.16,0,Sales,Purchases
44A0002,DOPPIO - HI BALL - 43CL (6),BCE,TRUE,EACH,133.95,154.04,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,107.16,0,Sales,Purchases
4BBTFL,DISCONTINUED!!! --- 4 BURNER BOILING TABLE FOLDING LEGS,DISCONTINUED,TRUE,EACH,0.00,0.00,TRUE,,,,,,,,,,,,,Standard Rate,Standard Rate,0.00,0,Sales,Purchases
